,date,book_to_price_ratio_predict,leverage_predict,earnings_yield_predict,beta_predict,growth_predict,residual_volatility_predict,non_linear_size_predict,liquidity_predict,momentum_predict,size_predict
158,2019-08-01,0.8719396,0.8719396,0.8719396,0.8719396,0.8719396,0.8719396,0.8719396,0.8719396,0.8719396,0.8719396
159,2019-09-02,1.0425432,1.0425432,1.0425432,1.0425432,1.0425432,1.0425432,1.0425432,1.0425432,1.0425432,1.0425432
160,2019-10-08,1.0197681,1.0197681,1.0197681,1.0197681,1.0197681,1.0197681,1.0197681,1.0197681,1.0197681,1.0197681
161,2019-11-01,0.7815477,0.7815477,0.7815477,0.7815477,0.7815477,0.7815477,0.7815477,0.7815477,0.7815477,0.7815477
162,2019-12-02,0.8790627,0.8790627,0.8790627,0.8790627,0.8790627,0.8790627,0.8790627,0.8790627,0.8790627,0.8790627
163,2020-01-02,0.9519086,0.9519086,0.9519086,0.9519086,0.9519086,0.9519086,0.9519086,0.9519086,0.9519086,0.9519086
164,2020-02-03,1.036601,1.036601,1.036601,1.036601,1.036601,1.036601,1.036601,1.036601,1.036601,1.036601
165,2020-03-02,0.90834683,0.90834683,0.90834683,0.90834683,0.90834683,0.90834683,0.90834683,0.90834683,0.90834683,0.90834683
166,2020-04-01,1.0021477,1.0021477,1.0021477,1.0021477,1.0021477,1.0021477,1.0021477,1.0021477,1.0021477,1.0021477
167,2020-05-06,0.9251003,0.9251003,0.9251003,0.9251003,0.9251003,0.9251003,0.9251003,0.9251003,0.9251003,0.9251003
168,2020-06-01,0.90764225,0.90764225,0.90764225,0.90764225,0.90764225,0.90764225,0.90764225,0.90764225,0.90764225,0.90764225
169,2020-07-01,0.9026391,0.9026391,0.9026391,0.9026391,0.9026391,0.9026391,0.9026391,0.9026391,0.9026391,0.9026391
170,2020-08-03,0.98751,0.98751,0.98751,0.98751,0.98751,0.98751,0.98751,0.98751,0.98751,0.98751
171,2020-09-01,0.9789844,0.9789844,0.9789844,0.9789844,0.9789844,0.9789844,0.9789844,0.9789844,0.9789844,0.9789844
172,2020-10-09,0.9190089,0.9190089,0.9190089,0.9190089,0.9190089,0.9190089,0.9190089,0.9190089,0.9190089,0.9190089
173,2020-11-02,0.9756925,0.9756925,0.9756925,0.9756925,0.9756925,0.9756925,0.9756925,0.9756925,0.9756925,0.9756925
174,2020-12-01,1.0593582,1.0593582,1.0593582,1.0593582,1.0593582,1.0593582,1.0593582,1.0593582,1.0593582,1.0593582
175,2018-12-03,0.9753767,0.9753767,0.9753767,0.9753767,0.9753767,0.9753767,0.9753767,0.9753767,0.9753767,0.9753767
176,2019-01-02,0.968404,0.968404,0.968404,0.968404,0.968404,0.968404,0.968404,0.968404,0.968404,0.968404
177,2019-02-01,1.0309702,1.0309702,1.0309702,1.0309702,1.0309702,1.0309702,1.0309702,1.0309702,1.0309702,1.0309702
178,2019-03-01,0.891771,0.891771,0.891771,0.891771,0.891771,0.891771,0.891771,0.891771,0.891771,0.891771
179,2019-04-01,0.96918315,0.96918315,0.96918315,0.96918315,0.96918315,0.96918315,0.96918315,0.96918315,0.96918315,0.96918315
180,2019-05-06,0.99704564,0.99704564,0.99704564,0.99704564,0.99704564,0.99704564,0.99704564,0.99704564,0.99704564,0.99704564
181,2019-06-03,1.0364652,1.0364652,1.0364652,1.0364652,1.0364652,1.0364652,1.0364652,1.0364652,1.0364652,1.0364652
182,2019-07-01,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409
183,2019-08-01,1.0342202,1.0342202,1.0342202,1.0342202,1.0342202,1.0342202,1.0342202,1.0342202,1.0342202,1.0342202
184,2019-09-02,1.0311695,1.0311695,1.0311695,1.0311695,1.0311695,1.0311695,1.0311695,1.0311695,1.0311695,1.0311695
185,2019-10-08,0.9899316,0.9899316,0.9899316,0.9899316,0.9899316,0.9899316,0.9899316,0.9899316,0.9899316,0.9899316
186,2019-11-01,0.9587922,0.9587922,0.9587922,0.9587922,0.9587922,0.9587922,0.9587922,0.9587922,0.9587922,0.9587922
187,2019-12-02,0.90241325,0.90241325,0.90241325,0.90241325,0.90241325,0.90241325,0.90241325,0.90241325,0.90241325,0.90241325
188,2020-01-02,0.9971363,0.9971363,0.9971363,0.9971363,0.9971363,0.9971363,0.9971363,0.9971363,0.9971363,0.9971363
189,2020-02-03,1.0138425,1.0138425,1.0138425,1.0138425,1.0138425,1.0138425,1.0138425,1.0138425,1.0138425,1.0138425
190,2020-03-02,0.95378244,0.95378244,0.95378244,0.95378244,0.95378244,0.95378244,0.95378244,0.95378244,0.95378244,0.95378244
191,2020-04-01,0.82088256,0.82088256,0.82088256,0.82088256,0.82088256,0.82088256,0.82088256,0.82088256,0.82088256,0.82088256
192,2020-05-06,1.0623577,1.0623577,1.0623577,1.0623577,1.0623577,1.0623577,1.0623577,1.0623577,1.0623577,1.0623577
193,2020-06-01,0.86460036,0.86460036,0.86460036,0.86460036,0.86460036,0.86460036,0.86460036,0.86460036,0.86460036,0.86460036
194,2020-07-01,1.2020096,1.2020096,1.2020096,1.2020096,1.2020096,1.2020096,1.2020096,1.2020096,1.2020096,1.2020096
195,2020-08-03,0.9892387,0.9892387,0.9892387,0.9892387,0.9892387,0.9892387,0.9892387,0.9892387,0.9892387,0.9892387
196,2020-09-01,0.9143532,0.9143532,0.9143532,0.9143532,0.9143532,0.9143532,0.9143532,0.9143532,0.9143532,0.9143532
197,2020-10-09,0.7811718,0.7811718,0.7811718,0.7811718,0.7811718,0.7811718,0.7811718,0.7811718,0.7811718,0.7811718
198,2020-11-02,0.9959881,0.9959881,0.9959881,0.9959881,0.9959881,0.9959881,0.9959881,0.9959881,0.9959881,0.9959881
199,2020-12-01,1.0673803,1.0673803,1.0673803,1.0673803,1.0673803,1.0673803,1.0673803,1.0673803,1.0673803,1.0673803
